Name,Score
Coco,88
Sandy,459
Eric,95
Allen,934
Noel,972
Allen,67
John,732
Eric,236
Eric,694
Snute,584
Sandy,132
Allen,673
Eric,347
Coco,668
Eric,173
Monsoon,277
Coco,667
Cathy,245
Noel,621
Noel,511
Cathy,247
Snute,310
Snute,64
Allen,147
Coco,66
Snute,597
Monsoon,354
Eric,815
Allen,466
Coco,928
Sandy,546
Monsoon,58
Noel,801
Allen,225
Michelle,656
Sandy,832
Noel,222
John,936
Allen,61
Monsoon,103
Sandy,485
Noel,620
Allen,471
Michelle,1111
Cathy,586
Michelle,187
Sandy,166
Eric,276
Noel,780
Snute,160
Eric,620
Michelle,1055
Michelle,962
Noel,438
Cathy,345
John,766
Coco,416
Monsoon,463
Coco,677
Michelle,866
John,545
Snute,400
Sandy,112
Snute,1057
Eric,1086
Noel,705
Michelle,512
John,573
Michelle,671
Snute,457
Snute,557
Monsoon,796
Eric,846
John,533
Allen,895
Noel,736
John,376
Coco,913
Coco,66
Coco,934
Michelle,500
Sandy,568
John,348
Eric,85
Cathy,940
Allen,845
John,68
Allen,1055
Eric,512
Sandy,3
Snute,80
Sandy,986
Cathy,627
Coco,932
Snute,70
Monsoon,537
Allen,895
Eric,266
Snute,913
Snute,437
