Name,Score
Coco,80
Sandy,414
Eric,86
Allen,841
Noel,875
Allen,61
John,659
Eric,213
Eric,625
Snute,526
Sandy,119
Allen,606
Eric,313
Coco,602
Eric,156
Monsoon,250
Coco,601
Cathy,221
Noel,559
Noel,460
Cathy,223
Snute,279
Snute,58
Allen,133
Coco,60
Snute,538
Monsoon,319
Eric,734
Allen,420
Coco,836
Sandy,492
Monsoon,53
Noel,721
Allen,203
Michelle,591
Sandy,749
Noel,200
John,843
Allen,55
Monsoon,93
Sandy,437
Noel,558
Allen,424
Michelle,1000
Cathy,528
Michelle,169
Sandy,150
Eric,249
Noel,702
Snute,144
Eric,558
Michelle,950
Michelle,866
Noel,395
Cathy,311
John,690
Coco,375
Monsoon,417
Coco,610
Michelle,780
John,491
Snute,360
Sandy,101
Snute,952
Eric,978
Noel,635
Michelle,461
John,516
Michelle,604
Snute,412
Snute,502
Monsoon,717
Eric,762
John,480
Allen,806
Noel,663
John,339
Coco,822
Coco,60
Coco,841
Michelle,450
Sandy,512
John,314
Eric,77
Cathy,846
Allen,761
John,62
Allen,950
Eric,461
Sandy,3
Snute,72
Sandy,888
Cathy,565
Coco,839
Snute,63
Monsoon,484
Allen,806
Eric,240
Snute,822
Snute,394
